g,t,width
0.1,175.4130200971913,45.87603709126404
0.1,175.81022631081177,45.87603709126404
0.1,176.4107758317509,46.07125427037579
0.1,177.01132535269002,46.07125427037579
0.1,177.61187487362915,46.07125427037579
0.1,178.21242439456827,46.266471449487554
0.1,178.31422128063275,46.266471449487554
0.1,178.41601816669723,46.266471449487554
0.1,178.5178150527617,46.266471449487554
0.1,178.7214088248907,46.266471449487554
0.1,178.92500259701967,46.266471449487554
0.1,179.12859636914865,46.266471449487554
0.1,179.7349829781873,46.266471449487554
0.1,180.34136958722596,46.46168862859932
0.1,180.9477561962646,46.46168862859932
0.1,181.55414280530326,46.46168862859932
0.1,182.33878745146703,46.656905807711084
0.1,183.1234320976308,46.656905807711084
0.1,183.7517789331922,46.85212298682285
0.1,184.38012576875363,46.85212298682285
0.1,185.00847260431505,46.85212298682285
0.1,185.63681943987646,47.0473401659346
0.1,186.3723282028897,47.0473401659346
0.1,187.10783696590292,47.0473401659346
0.1,187.84334572891615,47.242557345046365
0.1,188.57885449192938,47.242557345046365
0.1,189.3143632549426,47.242557345046365
0.1,190.04987201795583,47.242557345046365
0.1,190.78538078096906,47.43777452415813
0.1,191.5208895439823,47.43777452415813
0.1,192.25639830699552,47.43777452415813
0.1,192.99190707000875,47.632991703269894
0.1,193.72741583302198,47.632991703269894
0.1,194.4629245960352,47.632991703269894
0.1,195.19843335904844,47.632991703269894
0.1,195.93394212206167,47.632991703269894
0.1,196.6694508850749,47.82820888238166
0.1,197.40495964808812,47.82820888238166
0.1,198.14046841110135,47.82820888238166
0.1,198.87597717411458,47.82820888238166
0.1,199.6114859371278,47.82820888238166
0.1,200.22047102687577,47.82820888238166
0.1,200.70536240527855,47.82820888238166
0.1,201.19025378368133,47.82820888238166
0.1,201.6751451620841,47.82820888238166
0.1,202.16003654048689,47.82820888238166
0.1,202.84834396465806,47.82820888238166
0.1,203.53665138882923,48.02342606149341
0.1,204.2249588130004,48.02342606149341
0.1,204.91326623717157,48.02342606149341
0.1,205.60157366134274,48.02342606149341
0.1,206.2898810855139,48.02342606149341
0.1,206.97818850968508,48.02342606149341
0.1,207.08602695091372,48.02342606149341
0.1,207.19386539214236,48.02342606149341
0.1,207.301703833371,48.02342606149341
0.1,207.51738071582827,48.02342606149341
0.1,207.73305759828554,48.02342606149341
0.1,208.04413913617904,48.02342606149341
0.1,208.35522067407254,48.02342606149341
0.1,208.66630221196604,48.02342606149341
0.1,209.05902284545385,48.02342606149341
0.1,209.45174347894167,48.02342606149341
0.1,209.84446411242948,48.02342606149341
0.1,210.2371847459173,48.02342606149341
0.1,210.6299053794051,48.02342606149341
0.1,211.0226260128929,48.02342606149341
0.1,211.35131100085474,48.218643240605175
0.1,211.67999598881656,48.218643240605175
0.1,212.00868097677838,48.218643240605175
0.1,212.45144310029414,48.218643240605175
0.1,212.8942052238099,48.218643240605175
0.1,213.33696734732567,48.218643240605175
0.1,213.77972947084143,48.41386041971694
0.1,214.2224915943572,48.41386041971694
0.1,214.57908257481375,48.41386041971694
0.1,214.9356735552703,48.41386041971694
0.1,215.29226453572687,48.41386041971694
0.1,215.8469588313547,48.60907759882869
0.1,216.30140415945914,48.60907759882869
0.1,216.75584948756358,48.60907759882869
0.1,217.21029481566802,48.60907759882869
0.1,217.74562268890367,48.804294777940456
0.1,218.2809505621393,48.804294777940456
0.1,218.81627843537495,48.99951195705222
0.1,219.3516063086106,48.99951195705222
0.1,219.88693418184624,48.99951195705222
0.1,220.4222620550819,49.194729136163986
0.1,220.95758992831753,49.194729136163986
0.1,221.49291780155318,49.194729136163986
0.1,222.02824567478882,49.38994631527575
0.1,222.56357354802446,49.38994631527575
0.1,223.0989014212601,49.5851634943875
0.1,223.53484696250098,49.5851634943875
0.1,223.97079250374185,49.5851634943875
0.1,224.40673804498272,49.780380673499266
0.1,224.8426835862236,49.780380673499266
0.1,225.27862912746446,49.780380673499266
0.1,225.71457466870532,49.97559785261103
0.1,226.1505202099462,49.97559785261103
0.1,226.58646575118706,50.170815031722796
0.1,227.02241129242793,50.170815031722796
0.1,227.4583568336688,50.170815031722796
0.1,227.89430237490967,50.36603221083456
0.1,228.33024791615054,50.36603221083456
0.1,228.7661934573914,50.36603221083456
0.1,229.2548039587582,50.56124938994631
0.1,229.743414460125,50.56124938994631
0.1,230.2320249614918,50.75646656905808
0.1,230.72063546285858,50.75646656905808
0.1,231.20924596422537,50.75646656905808
0.1,231.69785646559217,50.95168374816984
0.1,232.18646696695896,50.95168374816984
0.1,232.7242185966099,51.14690092728161
0.1,233.26197022626081,51.14690092728161
0.1,233.79972185591174,51.34211810639337
0.1,234.33747348556267,51.34211810639337
0.1,234.8752251152136,51.53733528550512
0.1,235.41297674486452,51.53733528550512
0.1,235.95072837451545,51.73255246461689
0.1,236.48848000416638,51.73255246461689
0.1,237.0262316338173,51.73255246461689
0.1,237.56398326346823,51.92776964372865
0.1,238.10173489311916,51.92776964372865
0.1,238.63948652277008,52.1229868228404
0.1,239.177238152421,52.1229868228404
0.1,239.71498978207194,52.31820400195217
0.1,240.25274141172287,52.31820400195217
0.1,240.7904930413738,52.51342118106393
0.1,241.32824467102472,52.51342118106393
0.1,241.86599630067565,52.7086383601757
0.1,242.40374793032657,52.7086383601757
0.1,242.9414995599775,52.90385553928746
0.1,243.47925118962843,52.90385553928746
0.1,244.01700281927936,53.09907271839921
0.1,244.55475444893028,53.09907271839921
0.1,245.0925060785812,53.29428989751098
0.1,245.63025770823214,53.29428989751098
0.1,246.16800933788306,53.29428989751098
0.1,246.705760967534,53.48950707662274
0.1,247.24351259718492,53.48950707662274
0.1,247.78126422683584,53.68472425573451
0.1,248.31901585648677,53.68472425573451
0.1,248.8567674861377,53.87994143484627
0.1,249.39451911578863,53.87994143484627
0.1,249.93227074543955,54.075158613958024
0.1,250.47002237509048,54.075158613958024
0.1,251.0077740047414,54.27037579306979
0.1,251.54552563439233,54.27037579306979
0.1,252.08327726404326,54.465592972181554
0.1,252.6210288936942,54.465592972181554
0.1,253.15878052334511,54.66081015129332
0.1,253.69653215299604,54.66081015129332
0.1,254.23428378264697,54.856027330405084
0.1,254.7720354122979,54.856027330405084
0.1,255.30978704194882,55.051244509516835
0.1,255.84753867159975,55.051244509516835
0.1,256.3852903012507,55.2464616886286
0.1,256.9230419309016,55.2464616886286
0.1,257.46079356055253,55.441678867740364
0.1,257.99854519020346,55.441678867740364
0.1,258.5362968198544,55.441678867740364
0.1,259.0740484495053,55.63689604685213
0.1,259.61180007915624,55.63689604685213
0.1,260.14955170880717,55.832113225963894
0.1,260.6873033384581,55.832113225963894
0.1,261.225054968109,56.027330405075645
0.1,261.76280659775995,56.027330405075645
0.1,262.3005582274109,56.222547584187396
0.1,262.8383098570618,56.222547584187396
0.1,263.37606148671273,56.41776476329919
0.1,263.91381311636366,56.41776476329919
0.1,264.4515647460146,56.61298194241094
0.1,264.86690838897806,56.61298194241094
0.1,265.2041154886253,56.61298194241094
0.1,265.5413225882725,56.80819912152269
0.1,265.87852968791975,56.80819912152269
0.1,266.215736787567,56.80819912152269
